d_max(um);d_min(um);d_avg(um);delta d 
109.534 ; 109.395 ; 109.464 ; 0.139
110.513 ; 108.325 ; 109.419 ; 2.188
110.301 ; 107.725 ; 109.013 ; 2.576
108.09 ; 106.739 ; 107.414 ; 1.351
107.831 ; 106.296 ; 107.063 ; 1.535
108.502 ; 106.807 ; 107.654 ; 1.695
108.255 ; 106.415 ; 107.335 ; 1.841
108.049 ; 105.96 ; 107.005 ; 2.089
107.83 ; 106.868 ; 107.349 ; 0.962
107.138 ; 106.171 ; 106.655 ; 0.967
107.335 ; 106.324 ; 106.829 ; 1.011
107.263 ; 106.331 ; 106.797 ; 0.931
107.215 ; 105.578 ; 106.397 ; 1.637
107.555 ; 105.97 ; 106.763 ; 1.585
107.463 ; 105.995 ; 106.729 ; 1.468
106.893 ; 105.693 ; 106.293 ; 1.2
106.775 ; 105.336 ; 106.055 ; 1.439
107.344 ; 106.328 ; 106.836 ; 1.016
106.975 ; 105.52 ; 106.248 ; 1.456
107.074 ; 105.161 ; 106.118 ; 1.913
107.125 ; 106.031 ; 106.578 ; 1.095
106.486 ; 105.52 ; 106.003 ; 0.966
106.589 ; 105.45 ; 106.02 ; 1.139
106.64 ; 106.34 ; 106.49 ; 0.3
106.506 ; 105.69 ; 106.098 ; 0.817
106.548 ; 105.435 ; 105.991 ; 1.113
106.871 ; 105.649 ; 106.26 ; 1.221
106.054 ; 104.909 ; 105.482 ; 1.145
105.969 ; 105.475 ; 105.722 ; 0.494
105.996 ; 105.397 ; 105.697 ; 0.599
106.024 ; 105.136 ; 105.58 ; 0.888
106.038 ; 105.121 ; 105.579 ; 0.917
105.966 ; 105.051 ; 105.508 ; 0.915
105.862 ; 104.951 ; 105.407 ; 0.91
105.678 ; 105.263 ; 105.47 ; 0.415
105.819 ; 105.452 ; 105.635 ; 0.367
105.9 ; 104.787 ; 105.343 ; 1.113
105.648 ; 105.243 ; 105.445 ; 0.405
105.84 ; 104.976 ; 105.408 ; 0.864
106.463 ; 105.048 ; 105.756 ; 1.415
106.388 ; 105.672 ; 106.03 ; 0.716
106.645 ; 105.238 ; 105.941 ; 1.407
106.575 ; 105.28 ; 105.928 ; 1.296
106.492 ; 105.202 ; 105.847 ; 1.29
106.538 ; 105.34 ; 105.939 ; 1.198
105.762 ; 104.476 ; 105.119 ; 1.286
105.693 ; 105.11 ; 105.401 ; 0.583
105.309 ; 105.032 ; 105.17 ; 0.276
105.638 ; 105.269 ; 105.454 ; 0.37
106.081 ; 104.749 ; 105.415 ; 1.332
105.579 ; 105.314 ; 105.446 ; 0.265
105.147 ; 104.254 ; 104.701 ; 0.894
105.922 ; 105.493 ; 105.707 ; 0.429
105.784 ; 105.016 ; 105.4 ; 0.768
105.028 ; 104.187 ; 104.607 ; 0.841
105.648 ; 105.376 ; 105.512 ; 0.272
105.776 ; 105.225 ; 105.501 ; 0.551
104.83 ; 104.117 ; 104.474 ; 0.713
106.449 ; 105.135 ; 105.792 ; 1.315
105.986 ; 104.957 ; 105.472 ; 1.029
104.753 ; 104.047 ; 104.4 ; 0.706
105.979 ; 105.392 ; 105.685 ; 0.587
104.863 ; 104.471 ; 104.667 ; 0.391
105.353 ; 104.886 ; 105.12 ; 0.468
104.911 ; 104.679 ; 104.795 ; 0.232
104.883 ; 104.496 ; 104.689 ; 0.387
105.316 ; 104.74 ; 105.028 ; 0.575
104.898 ; 104.529 ; 104.713 ; 0.369
104.979 ; 104.634 ; 104.807 ; 0.346
104.515 ; 104.455 ; 104.485 ; 0.06
105.382 ; 104.624 ; 105.003 ; 0.758
105.11 ; 104.477 ; 104.793 ; 0.633
104.366 ; 104.221 ; 104.294 ; 0.145
104.967 ; 104.659 ; 104.813 ; 0.308
104.698 ; 104.314 ; 104.506 ; 0.384
104.462 ; 104.292 ; 104.377 ; 0.17
104.841 ; 104.494 ; 104.667 ; 0.347
104.76 ; 104.357 ; 104.559 ; 0.403
104.573 ; 104.216 ; 104.395 ; 0.356
104.805 ; 104.479 ; 104.642 ; 0.326
104.679 ; 104.408 ; 104.543 ; 0.271
104.237 ; 104.092 ; 104.165 ; 0.145
104.953 ; 104.358 ; 104.656 ; 0.595
104.832 ; 104.254 ; 104.543 ; 0.578
104.274 ; 104.17 ; 104.222 ; 0.104
104.77 ; 104.423 ; 104.596 ; 0.347
104.647 ; 104.253 ; 104.45 ; 0.394
104.221 ; 104.027 ; 104.124 ; 0.194
104.985 ; 104.148 ; 104.566 ; 0.838
104.718 ; 104.177 ; 104.448 ; 0.54
104.247 ; 103.946 ; 104.096 ; 0.301
104.672 ; 104.317 ; 104.494 ; 0.356
104.549 ; 103.948 ; 104.248 ; 0.601
104.299 ; 103.962 ; 104.131 ; 0.338
104.695 ; 104.156 ; 104.426 ; 0.539
104.56 ; 104.013 ; 104.286 ; 0.547
104.302 ; 103.873 ; 104.088 ; 0.429
104.658 ; 104.019 ; 104.338 ; 0.639
105.123 ; 104.518 ; 104.82 ; 0.606
104.873 ; 104.74 ; 104.807 ; 0.133
105.379 ; 104.981 ; 105.18 ; 0.398
105.011 ; 104.68 ; 104.845 ; 0.331
104.709 ; 104.62 ; 104.665 ; 0.088
105.261 ; 104.65 ; 104.955 ; 0.611
104.799 ; 104.691 ; 104.745 ; 0.108
104.558 ; 104.533 ; 104.546 ; 0.025
105.322 ; 104.901 ; 105.112 ; 0.422
105.003 ; 104.333 ; 104.668 ; 0.67
104.968 ; 103.447 ; 104.707 ; 1.522
104.472 ; 104.28 ; 104.376 ; 0.191
105.208 ; 104.587 ; 104.897 ; 0.621
104.91 ; 104.626 ; 104.768 ; 0.284
104.71 ; 104.626 ; 104.668 ; 0.084
105.551 ; 105.026 ; 105.289 ; 0.524
104.961 ; 104.559 ; 104.76 ; 0.403
104.448 ; 104.435 ; 104.442 ; 0.013
105.205 ; 104.662 ; 104.933 ; 0.543
104.717 ; 104.37 ; 104.543 ; 0.348
104.47 ; 104.211 ; 104.34 ; 0.259
105.272 ; 104.6 ; 104.936 ; 0.672
104.71 ; 104.282 ; 104.496 ; 0.428
104.251 ; 104.102 ; 104.176 ; 0.149
104.98 ; 104.469 ; 104.724 ; 0.511
104.746 ; 104.288 ; 104.517 ; 0.458
104.513 ; 104.484 ; 104.498 ; 0.029
105.18 ; 104.651 ; 104.916 ; 0.529
104.611 ; 104.269 ; 104.44 ; 0.342
104.347 ; 104.238 ; 104.292 ; 0.109
104.935 ; 104.313 ; 104.624 ; 0.621
